Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
3779,-6334.975609756097,nan,8.0,"(3384.5, 391.0)",0.7745966692414834
3780,4670.8914728682175,16.126500558328406,9.0,"(3385.0, 1076.111111111111)",0.6526300069150405
3781,3171.9768339768343,16.546674982857056,9.0,"(3384.4444444444443, 1104.5555555555557)",0.9003313035883193
3782,-3259.6692913385814,nan,23.0,"(3385.913043478261, 2037.391304347826)",0.6109546793005121
3783,15633.178571428565,14.814881778290863,118.0,"(3391.3474576271187, 70.97457627118644)",0.5511995224876522
3784,730.28125,18.14127462435855,10.0,"(3386.3, 81.8)",0.7662148937541976
3785,-1992.0,nan,22.0,"(3387.7272727272725, 841.0909090909091)",0.6322449749651323
3786,1906.9761904761908,17.099136823244137,8.0,"(3386.125, 978.75)",0.3247850501147345
3787,-4346.81640625,nan,10.0,"(3387.4, 992.2)",0.8561520213556487
3788,-9279.13385826772,nan,21.0,"(3390.2380952380954, 392.8095238095238)",0.7745854606454757
3789,6877.347826086957,15.706447525981423,9.0,"(3389.3333333333335, 1069.5555555555557)",0.6687313366284435
3790,-4254.3914728682175,nan,15.0,"(3391.266666666667, 1612.4)",0.7201738776548621
3791,-9549.968992248061,nan,21.0,"(3393.809523809524, 474.6190476190476)",0.7436020124182573
3792,-9449.805555555555,nan,8.0,"(3392.125, 2170.75)",0.8768017525194558
3793,-10904.229249011856,nan,9.0,"(3394.5555555555557, 987.6666666666666)",0.9435102809471633
3794,1055.0470588235294,17.741820422167887,25.0,"(3396.04, 614.84)",0.6083794745654034
3795,3654.078125,16.393055428929905,13.0,"(3395.5384615384614, 963.2307692307693)",0.8186781252898286
3796,249298.73228346457,11.808199824836594,596.0,"(3409.18288590604, 388.81208053691273)",0.15461108191362535
3797,2519.0117647058796,16.79692451045786,65.0,"(3399.153846153846, 682.6769230769231)",0.38544889324519743
3798,2446.5369649805507,16.82862054513534,102.0,"(3401.7156862745096, 780.5882352941177)",0.316806010987549
3799,-316.67704280155885,nan,56.0,"(3399.75, 764.4107142857143)",0.6397551884234894
3800,-7716.16129032258,nan,13.0,"(3397.0, 1592.5384615384614)",0.8982428396018746
3801,-5240.796078431373,nan,12.0,"(3397.6666666666665, 1652.1666666666667)",0.8225638732609021
3802,96074.6000000001,12.84347853753776,653.0,"(3414.283307810107, 2069.08269525268)",0.5028372101980136
3803,-9607.695652173912,nan,19.0,"(3400.5263157894738, 2207.1052631578946)",0.7711779014006536
3804,-17025.523809523816,nan,99.0,"(3406.343434343434, 622.030303030303)",0.8169540199310128
3805,-8975.338709677453,nan,217.0,"(3411.032258064516, 1041.4884792626729)",0.6554201446770688
3806,-1338.700564971754,nan,32.0,"(3403.65625, 7.375)",0.6115555976573339
3807,-826.225296442688,nan,105.0,"(3406.495238095238, 592.6285714285714)",0.8254173288788275
3808,11708.117647058825,15.128782305702432,134.0,"(3407.820895522388, 808.5970149253732)",0.3544329295911751
3809,2743.8740157480315,16.704089582560368,11.0,"(3403.818181818182, 1094.5454545454545)",0.7406262359102437
3810,-3053.7109375,nan,10.0,"(3403.3, 2237.8)",0.7813269956350372
3811,2000.7411764705867,17.047022724312654,28.0,"(3406.8214285714284, 718.6071428571429)",0.5373546722306869
3812,1084.75390625,17.711671943202532,12.0,"(3405.5833333333335, 1135.3333333333333)",0.8240103083750198
3813,488.75,18.57728307399019,45.0,"(3409.4, 989.7111111111111)",0.8344353163211591
3814,332.56589147287013,18.99530573704503,19.0,"(3408.2105263157896, 531.3684210526316)",0.5765720799229106
3815,2161.2607003891026,16.96323210880814,39.0,"(3410.5384615384614, 1602.5897435897436)",0.5178498994545935
3816,-6152.52,nan,11.0,"(3408.2727272727275, 1084.909090909091)",0.9741175313345862
3817,-5313.40625,nan,16.0,"(3411.625, 58.8125)",0.8100792227485729
3818,1232.8554216867487,17.57271962652609,82.0,"(3413.951219512195, 936.5243902439024)",0.7992728835303949
3819,-14096.814229249008,nan,15.0,"(3411.866666666667, 1060.5333333333333)",0.9211954695944682
3820,511.26771653543256,18.52837907369493,8.0,"(3410.375, 1071.5)",0.5380726428680824
3821,-67021.531496063,nan,34.0,"(3414.9117647058824, 1149.4117647058824)",0.8823835648122427
3822,13085.054263565893,15.008061180015664,97.0,"(3415.773195876289, 1567.381443298969)",0.5624228472507856
3823,6465.85826771654,15.77343454850047,97.0,"(3413.463917525773, 2130.855670103093)",0.5736624525793617
3824,1394.666666666666,17.438823947151114,8.0,"(3411.375, 1504.0)",0.9528444588068854
3825,-2373.419354838712,nan,10.0,"(3412.3, 1028.0)",0.8584572397562118
3826,-47433.0,nan,21.0,"(3415.4761904761904, 1160.952380952381)",0.9584534089721829
3827,2904.4679999999935,16.642333510011024,55.0,"(3415.2727272727275, 112.01818181818182)",0.7025595389978682
3828,-6168.3888888888905,nan,8.0,"(3414.75, 1130.875)",0.930610269114735
3829,-1152.515267175575,nan,21.0,"(3414.904761904762, 1173.952380952381)",0.6218141182277499
3830,2893.4444444444453,16.64646212971976,45.0,"(3418.1111111111113, 141.26666666666668)",0.425723082877283
3831,6732.58139534884,15.72954596841268,40.0,"(3420.125, 1112.875)",0.6741870070306629
3832,-3802.1181102362207,nan,12.0,"(3417.5, 1065.6666666666667)",0.8816908838832423
3833,1640.7142857142826,17.262417601208032,57.0,"(3421.3508771929824, 689.4912280701755)",0.5484837905408728
3834,5482.937254901961,15.95246681006139,43.0,"(3419.8372093023254, 1637.1860465116279)",0.799986920148489
3835,-3331.5119047619046,nan,8.0,"(3419.75, 441.125)",0.7582696266648254
3836,-14697.03112840467,nan,12.0,"(3419.4166666666665, 1179.25)",0.9432647601740647
3837,-78358.96047430832,nan,60.0,"(3424.05, 1158.6333333333334)",0.7992097078460555
3838,2964.733590733591,16.62003581500102,13.0,"(3421.769230769231, 1202.3846153846155)",0.8755244438077613
3839,971.3913043478242,17.831514471353103,30.0,"(3422.5666666666666, 2225.1)",0.49580421758537135
3840,-13130.90625,nan,24.0,"(3425.6666666666665, 1149.6666666666667)",0.8753852775753971
3841,1363.3229571984484,17.463503130195114,39.0,"(3424.4102564102564, 1763.7435897435898)",0.6035007260839195
3842,2562.3579766537005,16.778400492074553,63.0,"(3425.4285714285716, 510.44444444444446)",0.6441880007087267
3843,-4959.073929961087,nan,11.0,"(3423.5454545454545, 1136.2727272727273)",0.947916753123029
3844,122.0627450980428,20.08354216829482,13.0,"(3425.3846153846152, 1197.3076923076924)",0.8665016643533887
3845,8416.227450980397,15.48720634024447,39.0,"(3427.4615384615386, 1019.2051282051282)",0.5985707636171742
3846,-5962.416666666668,nan,9.0,"(3425.8888888888887, 1068.5555555555557)",0.8774391453728856
3847,46354.43307086616,13.634771815279194,157.0,"(3432.605095541401, 1095.6114649681529)",0.7544660795703779
3848,28540.444444444467,14.161348170356616,117.0,"(3431.675213675214, 1129.940170940171)",0.6753034187510436
