Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
2702,-5619.9375,nan,28.0,"(2503.8214285714284, 939.6428571428571)",0.5481721342514154
2703,2129.0705882352922,16.979524848784564,38.0,"(2506.842105263158, 1210.3157894736842)",0.7737796937457354
2704,-9602.517647058834,nan,37.0,"(2507.162162162162, 1890.918918918919)",0.8045220344932212
2705,3210.464000000007,16.53358048902142,55.0,"(2509.0, 2272.4545454545455)",0.6655063818390943
2706,1814.789682539682,17.152934246135757,56.0,"(2510.375, 557.0357142857143)",0.6343571335276716
2707,-28083.015625,nan,20.0,"(2509.1, 1170.85)",0.8131143401571985
2708,265.9130434782601,19.23815089819328,13.0,"(2507.4615384615386, 1783.076923076923)",0.7331200400034196
2709,3963.5511811023607,16.304788823538434,83.0,"(2511.855421686747, 2070.6987951807228)",0.5606943863012135
2710,227.5378486055779,19.40736588132625,14.0,"(2508.8571428571427, 479.2142857142857)",0.5284559466669202
2711,702.1764705882379,18.183884318780557,24.0,"(2509.375, 586.1666666666666)",0.676979041132181
2712,4459.9302325581375,16.176679837441625,67.0,"(2512.716417910448, 30.70149253731343)",0.6470091636063785
2713,-9292.094488188977,nan,8.0,"(2510.625, 1583.375)",0.9664022173865874
2714,1096.98418972332,17.69949907911564,47.0,"(2513.340425531915, 1743.063829787234)",0.6764901469484522
2715,-2130.5,nan,22.0,"(2513.5, 714.2272727272727)",0.7244301443691163
2716,-23373.635294117645,nan,93.0,"(2516.3763440860216, 1084.3118279569892)",0.8695230163359903
2717,526.2790697674427,18.496959754062143,24.0,"(2515.5, 358.4166666666667)",0.6601366718035033
2718,65890.57028112444,13.252941834072665,508.0,"(2526.4566929133857, 388.996062992126)",0.789617951944583
2719,-33094.89883268485,nan,802.0,"(2536.755610972569, 659.5922693266833)",0.8008431363288262
2720,9743.515625,15.328210785150944,138.0,"(2520.789855072464, 1161.2753623188405)",0.35708047417479716
2721,98686.4375,12.814356321052163,783.0,"(2529.137931034483, 1209.9016602809706)",0.5110177506917128
2722,-5689.684824902724,nan,40.0,"(2518.7, 2102.675)",0.8243236223125162
2723,-3193.5920000000006,nan,8.0,"(2516.0, 452.25)",0.8416254115301731
2724,3623.0551181102346,16.402312647311504,118.0,"(2522.6525423728813, 864.1525423728814)",0.3641201370939955
2725,-9808.745098039217,nan,22.0,"(2520.7727272727275, 2050.4545454545455)",0.76911381725438
2726,-3136.1899224806184,nan,10.0,"(2522.0, 950.1)",0.7457576638847141
2727,-2791.09486166008,nan,20.0,"(2522.45, 1452.1)",0.6596446418959241
2728,91354.22178988322,12.898178444049456,876.0,"(2537.6130136986303, 697.189497716895)",0.738170141548194
2729,70366.3464566929,13.18158749428349,369.0,"(2532.891598915989, 1133.3577235772357)",0.7847922445824633
2730,646.2558139534885,18.273988842021367,21.0,"(2525.8571428571427, 789.1428571428571)",0.7855792733661668
2731,1086.54054054054,17.709885162073363,34.0,"(2527.9411764705883, 1189.1176470588234)",0.4885877033831198
2732,-5998.896414342631,nan,17.0,"(2527.470588235294, 1573.0588235294117)",0.7294427561676637
2733,-2100.166666666668,nan,8.0,"(2526.625, 1073.0)",0.8228507357554791
2734,-3156.405405405407,nan,13.0,"(2528.769230769231, 1732.3846153846155)",0.596393436579692
2735,6116.1428571428405,15.83380594788758,138.0,"(2533.8840579710145, 474.5)",0.5990422271315109
2736,1110.4609375,17.686241784879215,39.0,"(2529.769230769231, 618.4615384615385)",0.6726364469128283
2737,2377.619047619053,16.859644321697022,34.0,"(2530.176470588235, 1349.1764705882354)",0.4997393919810733
2738,774.0705882352922,18.07804858445797,41.0,"(2530.609756097561, 2142.829268292683)",0.4146400649678547
2739,-3134.276679841898,nan,8.0,"(2529.125, 1035.625)",0.814408723240853
2740,-3167.984375,nan,11.0,"(2531.7272727272725, 2148.6363636363635)",0.8474622505160757
2741,2040.5538461538454,17.025629851431702,32.0,"(2533.4375, 727.46875)",0.6353378508569223
2742,4143.304347826081,16.256632910703825,61.0,"(2534.3278688524592, 1267.4918032786886)",0.7026557206730906
2743,9847.17898832685,15.316720420018974,125.0,"(2536.824, 1378.624)",0.48517443072030575
2744,1834.1484375,17.14141379955691,75.0,"(2535.32, 1642.8133333333333)",0.6412344012368125
2745,1796.7265625,17.16379502903223,47.0,"(2534.2340425531916, 2125.5106382978724)",0.6409780566684681
2746,1785.2868525896338,17.170729983210173,303.0,"(2544.204620462046, 1809.9174917491748)",0.8421960937635644
2747,494.38888888888687,18.564828245832025,18.0,"(2534.9444444444443, 1494.2777777777778)",0.7403798940885207
2748,-6631.138888888887,nan,8.0,"(2534.75, 504.125)",0.956294331260295
